question,query
How many artists are there?,SELECT COUNT(*) FROM Artist
What's the average invoice from an American customer whose Fax is missing since 2003 but before 2010?,SELECT AVG(Total) FROM Invoice i JOIN Customer c ON i.CustomerId = c.CustomerId WHERE c.Country = 'USA' AND i.InvoiceDate BETWEEN '2003-01-01' AND '2010-01-01' AND c.Fax IS NULL
"Provide a query showing Customers who are not in the USA.","SELECT * FROM Customer c WHERE c.Country != 'USA'"
"Provide a query showing the Invoices of customers who are from Brazil.","SELECT c.firstname, c.lastname, i.invoiceid, i.invoicedate, i.billingcountry FROM Customer as c, Invoice as i WHERE c.country = 'Brazil' and c.customerid = i.customerid"
Provide a query showing only the Employees who are IT staff,SELECT * FROM Employee WHERE Title = 'IT staff'
How many employees are there?,SELECT COUNT(*) FROM Employee
How many tracks are there in the album with ID 5?,SELECT COUNT(*) FROM Track WHERE AlbumId = 5
List all tracks in the 'Rock' genre.,SELECT t.name FROM Track t WHERE GenreId = (SELECT GenreId FROM Genre WHERE Name = 'Rock')
Provide a query showing a unique list of billing countries from the Invoice table.,SELECT DISTINCT billingcountry FROM invoice
How many customer come from Germany?.,"SELECT COUNT(*) FROM Customer c WHERE c.Country = 'Germany'"
How many Invoices were there in 2009 and 2011? ,"SELECT COUNT(*) AS InvoiceCount FROM Invoice WHERE strftime('%Y', InvoiceDate) IN ('2009','2011')"
provide a query that counts the number of line items for Invoice ID 37,SELECT COUNT(*) AS numLineItems FROM InvoiceLine IL WHERE IL.InvoiceId = 37
Write a SQL query to sort the rows from the table Track in alphabetical order of Track name and display the first 10 rows.,SELECT * FROM Track ORDER BY Name ASC LIMIT 10
"Write a SQL query to show the top 10 albums with the highest number of tracks. The result should contain 2 columns: album ID and number of tracks in the album.","SELECT a.AlbumId, COUNT(t.TrackID) as Tracks FROM Album a JOIN Track t ON a.AlbumID=t.AlbumID GROUP BY a.AlbumId ORDER BY Tracks desc LIMIT 10"
"Show a list of the top 10 customer with the highest total spend in 2012.","SELECT c.FirstName, c.LastName, SUM(i.Total) AS TotalSpend FROM Customer c JOIN Invoice i ON c.CustomerId = i.CustomerId WHERE strftime('%Y', i.InvoiceDate) = '2012' GROUP BY c.FirstName, c.LastName ORDER BY TotalSpend DESC LIMIT 10"
Which artist has earned the most?,"SELECT Artist.Name, SUM(Track.UnitPrice * InvoiceLine.Quantity) AS TotalEarnings FROM Artist JOIN Album ON Artist.ArtistId = Album.ArtistId JOIN Track ON Album.AlbumId = Track.AlbumId JOIN InvoiceLine ON Track.TrackId = InvoiceLine.TrackId JOIN Invoice ON InvoiceLine.InvoiceId = Invoice.InvoiceId GROUP BY Artist.Name ORDER BY TotalEarnings DESC LIMIT 1"
How many users per country?,"SELECT c.country, COUNT(c.customerid) FROM customer c GROUP BY 1 ORDER BY 1"
Retrieve the top 5 most expensive tracks,"SELECT t.Name, t.UnitPrice FROM Track t ORDER BY t.UnitPrice DESC LIMIT 5"
Provide a query showing only the Employees who are Sales Support Agents,SELECT * FROM Employee WHERE Title = 'Sales Support Agent'
Find the average unit price of tracks in each genre,"SELECT Genre.Name, AVG(Track.UnitPrice) AS AveragePrice FROM Genre JOIN Track ON Genre.GenreId = Track.GenreId GROUP BY Genre.Name"
